,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
115,47.83259,38.47795,302.56,0.57,0.52,2022-05-02,16,1,VIIRS,n,2.0NRT,273.83,2.08,N
116,47.83154,38.47721,295.54,0.57,0.52,2022-05-02,16,1,VIIRS,n,2.0NRT,270.88,1.73,N
16419,48.72168,27.69335,329.84,0.33,0.55,2022-05-02,1002,1,VIIRS,n,2.0NRT,294.29,1.21,D
16420,48.62964,26.92729,329.73,0.35,0.57,2022-05-02,1002,1,VIIRS,n,2.0NRT,298.81,2.14,D
16422,49.35705,29.03824,341.34,0.55,0.51,2022-05-02,1002,1,VIIRS,n,2.0NRT,301.86,5.23,D
16436,47.42317,38.22627,336.57,0.42,0.38,2022-05-02,1002,1,VIIRS,n,2.0NRT,304.97,3.92,D
16437,47.89065,39.63522,334.78,0.39,0.36,2022-05-02,1002,1,VIIRS,n,2.0NRT,305.6,3.04,D
16438,47.21385,34.60368,342.54,0.55,0.43,2022-05-02,1002,1,VIIRS,n,2.0NRT,304.37,9.49,D
16439,47.21382,34.60196,333.95,0.55,0.43,2022-05-02,1002,1,VIIRS,n,2.0NRT,303.91,8.12,D
16440,47.62823,34.32767,333.33,0.55,0.43,2022-05-02,1002,1,VIIRS,n,2.0NRT,300.7,10.25,D
16442,48.86189,37.86106,347.87,0.41,0.37,2022-05-02,1002,1,VIIRS,n,2.0NRT,299.74,7.5,D
16443,48.99949,38.07159,332.65,0.41,0.37,2022-05-02,1002,1,VIIRS,n,2.0NRT,293.23,3.43,D
16444,49.23145,38.2327,334.15,0.4,0.37,2022-05-02,1002,1,VIIRS,n,2.0NRT,292.3,5.89,D
16445,49.23474,38.23136,349.1,0.4,0.37,2022-05-02,1002,1,VIIRS,n,2.0NRT,304.89,5.89,D
16446,49.31171,37.14995,343.31,0.42,0.38,2022-05-02,1002,1,VIIRS,n,2.0NRT,300.81,7.54,D
16447,49.40889,37.19099,343.01,0.42,0.38,2022-05-02,1002,1,VIIRS,n,2.0NRT,303.79,5,D
16456,48.87952,31.61347,354.58,0.44,0.46,2022-05-02,1002,1,VIIRS,n,2.0NRT,299.27,13.94,D
16459,48.80411,30.9867,341.17,0.47,0.48,2022-05-02,1002,1,VIIRS,n,2.0NRT,305.59,3.82,D
16460,48.82058,29.71867,332.66,0.53,0.5,2022-05-02,1002,1,VIIRS,n,2.0NRT,300.05,3.81,D
16463,48.99023,28.70211,337.93,0.58,0.52,2022-05-02,1002,1,VIIRS,n,2.0NRT,298.26,7.11,D
16467,48.44464,25.68902,333.19,0.4,0.6,2022-05-02,1002,1,VIIRS,n,2.0NRT,291.06,3.15,D
16468,48.44308,25.68382,335.14,0.4,0.6,2022-05-02,1002,1,VIIRS,n,2.0NRT,289.74,3.5,D
16469,48.98375,28.6975,341.43,0.58,0.52,2022-05-02,1002,1,VIIRS,n,2.0NRT,301.43,11.09,D
16470,48.77727,26.53623,337.44,0.36,0.58,2022-05-02,1002,1,VIIRS,n,2.0NRT,302,5.98,D
16471,48.98821,28.69466,341.63,0.58,0.52,2022-05-02,1002,1,VIIRS,n,2.0NRT,300.51,7.11,D
16477,51.28363,24.7499,331.28,0.36,0.57,2022-05-02,1004,1,VIIRS,n,2.0NRT,298.91,3.68,D
16516,48.61532,25.44011,329.1,0.41,0.61,2022-05-02,1004,1,VIIRS,l,2.0NRT,301.74,5.18,D
16517,48.61673,25.44436,341.37,0.41,0.6,2022-05-02,1004,1,VIIRS,n,2.0NRT,296.06,3.95,D
16518,48.61518,25.43933,328.42,0.41,0.6,2022-05-02,1004,1,VIIRS,l,2.0NRT,302.05,3.95,D
16522,49.72045,28.74719,333.53,0.55,0.51,2022-05-02,1004,1,VIIRS,n,2.0NRT,303.49,4.19,D
16529,50.0267,29.01491,339.8,0.52,0.5,2022-05-02,1004,1,VIIRS,n,2.0NRT,295.95,3.56,D
16539,49.46113,23.55965,336.31,0.46,0.63,2022-05-02,1004,1,VIIRS,n,2.0NRT,290.83,4.21,D
